Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin
0,2,1,0,1,0,1,2,0
1,0,0,1,1,0,12,0,1
1,2,0,1,0,0,1,2,1
1,0,0,1,1,0,9,2,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,1,0
0,0,1,0,0,0,9,2,0
0,2,1,0,3,1,3,2,0
1,2,0,1,0,2,2,2,1
1,1,0,1,1,0,5,0,1
1,2,0,1,1,1,3,2,1
1,0,0,1,0,0,4,2,1
0,2,1,0,0,0,1,2,0
0,2,1,0,1,5,5,2,0
0,2,0,0,0,0,1,2,0
1,1,0,1,0,0,2,2,1
0,2,1,0,4,1,5,1,0
1,1,1,1,0,0,2,2,1
0,2,0,0,1,0,3,2,0
1,2,0,1,0,0,1,0,1
0,1,1,0,0,0,4,2,0
1,1,1,1,0,0,2,2,1
1,2,0,1,0,0,1,1,1
1,0,1,1,0,0,6,2,1
0,2,0,0,3,1,3,2,0
1,2,0,1,1,5,5,2,1
0,2,1,0,0,0,1,0,0
0,0,1,0,3,2,47,2,0
1,2,0,1,0,0,1,1,1
0,2,1,0,0,0,1,2,0
0,0,1,0,0,0,5,0,0
1,0,0,1,1,0,26,0,1
1,2,0,1,0,0,1,1,1
0,1,1,0,0,0,1,2,0
0,0,1,0,1,0,14,0,0
0,0,1,0,1,0,9,2,0
1,2,1,1,0,0,1,0,1
0,2,1,0,0,0,1,2,0
0,2,0,0,2,0,3,2,0
1,2,0,1,1,0,2,0,1
0,2,0,0,1,0,1,2,0
0,1,0,0,1,0,3,2,0
0,2,1,0,0,0,1,0,0
1,1,0,1,1,2,7,0,1
1,2,0,1,0,0,1,1,1
0,2,1,0,0,0,1,2,0
0,2,1,0,1,0,2,1,0
1,2,0,1,0,0,1,1,1
0,2,1,0,2,0,3,0,0
0,2,0,0,1,0,3,2,0
0,2,1,0,4,1,7,2,0
0,2,1,0,0,0,1,2,0
1,0,0,1,1,0,13,0,1
1,1,0,1,1,0,4,2,1
0,0,1,0,0,1,11,0,0
1,0,1,1,0,0,6,2,1
1,1,0,1,0,0,1,2,1
0,2,1,0,0,0,1,0,0
1,1,0,1,1,2,5,2,1
0,2,1,0,5,2,8,2,0
0,2,1,0,0,0,1,0,0
0,0,1,0,1,0,15,2,0
0,2,1,0,3,2,5,2,0
0,0,1,0,0,0,5,0,0
1,2,1,1,1,1,2,0,1
1,1,0,1,0,0,1,2,1
0,2,1,0,0,0,1,2,0
1,2,0,1,4,2,1,2,1
0,2,1,0,2,0,1,2,0
0,1,1,0,0,0,1,2,0
0,2,0,0,5,2,8,2,0
0,1,1,0,0,0,13,2,0
0,2,1,0,1,0,2,0,0
1,2,1,1,0,0,10,2,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
1,1,1,1,0,2,5,2,1
1,2,0,1,0,0,2,2,1
0,2,1,0,0,0,1,2,0
1,2,1,1,0,0,1,2,1
1,2,0,1,0,0,1,1,1
0,0,1,0,0,0,8,2,0
1,1,0,1,0,0,1,2,1
1,2,0,1,3,0,2,2,1
0,2,1,0,1,3,6,2,0
0,2,1,0,0,0,1,2,0
1,0,0,1,3,2,47,2,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,0,1,0,1,0,11,2,0
0,2,1,0,1,2,3,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,0,1,0,0,0,6,0,0
1,0,1,1,0,1,11,0,1
1,1,0,1,0,1,4,2,1
0,1,1,0,1,0,4,2,0
0,2,0,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,0,1,0,0,1,14,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,2,0,1,2,0
0,2,1,0,0,0,1,2,0
1,2,0,1,0,0,1,2,1
1,2,1,1,0,0,1,2,1
0,2,1,0,0,0,1,2,0
1,2,0,1,1,0,4,1,1
0,0,1,0,0,0,9,2,0
0,2,0,0,1,0,2,0,0
0,2,1,0,0,0,1,2,0
0,2,0,0,1,0,1,2,0
0,2,0,0,0,0,2,0,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,1,0
0,1,1,0,1,0,3,2,0
0,0,1,0,0,1,44,0,0
0,2,0,0,4,2,5,2,0
0,1,1,0,2,0,13,2,0
0,2,1,0,0,0,1,2,0
0,1,1,0,1,0,5,0,0
1,1,0,1,0,0,2,2,1
0,0,1,0,0,1,14,2,0
1,2,1,1,1,0,2,0,1
0,2,1,0,0,0,1,1,0
1,2,1,1,0,0,1,2,1
1,2,0,1,1,1,4,0,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,0,0
0,2,1,0,0,0,1,2,0
0,2,0,0,1,0,2,2,0
1,1,0,1,1,0,4,2,1
0,1,1,0,0,0,2,2,0
0,1,1,0,0,0,2,0,0
1,0,0,1,0,2,4,2,1
0,0,1,0,1,0,9,2,0
0,2,1,0,0,0,1,2,0
0,0,1,0,0,0,14,0,0
0,2,0,0,0,2,2,0,0
1,2,0,1,0,0,1,2,1
1,2,0,1,1,0,2,2,1
0,2,1,0,0,0,1,1,0
0,1,1,0,0,0,2,2,0
0,1,1,0,1,1,6,2,0
1,2,1,1,0,0,1,2,1
0,2,0,0,2,2,6,2,0
0,1,1,0,0,2,4,2,0
0,1,1,0,0,0,2,2,0
0,1,1,0,0,0,2,2,0
1,0,0,1,1,0,12,2,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,2,2,2,0
0,2,1,0,0,0,1,2,0
0,0,1,0,0,1,11,0,0
1,2,0,1,0,0,1,1,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,8,2,12,2,0
0,2,1,0,0,1,2,2,0
1,1,0,1,0,0,2,2,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,4,1,7,2,0
1,2,1,1,0,2,3,2,1
1,0,0,1,0,1,9,2,1
0,2,0,0,1,4,5,2,0
0,0,1,0,0,0,4,2,0
0,2,1,0,0,0,10,2,0
0,0,1,0,0,0,6,2,0
0,2,1,0,4,1,5,1,0
1,2,0,1,1,1,2,2,1
0,2,1,0,0,0,1,2,0
0,0,1,0,0,0,5,0,0
0,2,1,0,1,1,1,2,0
0,2,1,0,3,1,4,2,0
0,0,0,0,0,0,5,0,0
0,1,1,0,0,0,2,2,0
0,2,1,0,0,0,0,2,0
0,2,0,0,8,2,12,2,0
0,1,1,0,0,0,2,0,0
0,2,1,0,4,2,5,2,0
1,1,1,1,2,1,7,2,1
1,2,0,1,0,2,3,2,1
0,0,1,0,0,0,9,2,0
1,2,0,1,1,0,2,1,1
1,0,1,1,0,0,4,2,1
0,2,1,0,1,1,2,1,0
0,2,1,0,0,0,1,2,0
1,1,0,1,0,0,2,2,1
0,1,1,0,0,0,2,2,0
1,2,0,1,1,0,1,2,1
1,1,1,1,1,1,4,2,1
1,0,0,1,0,0,5,0,1
1,0,0,1,0,0,26,0,1
0,2,1,0,0,0,1,1,0
0,2,1,0,0,1,1,2,0
1,2,0,1,0,0,1,1,1
0,1,0,0,0,0,2,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,8,2,12,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,0,0
1,2,1,1,0,0,1,2,1
0,2,0,0,0,1,1,2,0
0,2,1,0,1,0,2,2,0
1,2,1,1,0,0,3,0,1
1,2,0,1,0,0,1,1,1
1,0,1,1,0,0,5,0,1
0,2,1,0,0,0,1,2,0
1,1,0,1,0,0,3,2,1
0,2,1,0,0,0,1,2,0
0,1,1,0,0,0,2,2,0
0,2,1,0,1,0,1,1,0
1,0,0,1,1,0,20,0,1
1,2,0,1,0,0,1,2,1
0,1,1,0,1,0,4,2,0
1,0,0,1,0,0,13,0,1
0,1,1,0,0,0,1,2,0
1,2,1,1,0,0,1,2,1
0,1,1,0,0,0,2,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
1,0,1,1,1,0,16,2,1
0,2,1,0,0,0,1,2,0
1,1,1,1,0,0,1,2,1
0,2,1,0,0,0,1,2,0
0,1,1,0,0,0,2,2,0
0,2,0,0,3,1,4,2,0
1,0,0,1,1,0,15,2,1
0,2,1,0,0,0,1,2,0
0,1,1,0,0,0,2,2,0
1,2,0,1,4,2,5,2,1
0,1,1,0,0,0,1,2,0
0,2,0,0,0,0,1,2,0
0,1,1,0,1,0,4,2,0
1,1,0,1,0,2,4,2,1
0,1,1,0,0,0,1,2,0
0,1,1,0,0,0,2,2,0
0,2,0,0,1,0,2,0,0
1,2,0,1,1,0,2,1,1
0,1,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,0,0
0,0,1,0,2,0,16,1,0
0,2,0,0,0,0,1,2,0
1,1,0,1,0,2,2,2,1
1,0,1,1,1,1,9,2,1
0,1,1,0,1,0,4,2,0
0,2,1,0,0,0,1,2,0
0,2,0,0,1,1,1,2,0
0,0,1,0,0,0,4,2,0
0,2,1,0,1,0,2,2,0
0,2,0,0,0,2,3,2,0
1,2,0,1,0,2,2,0,1
1,0,0,1,0,0,14,0,1
1,0,0,1,0,0,15,2,1
1,0,0,1,0,0,92,0,1
1,1,0,1,0,1,4,2,1
0,2,1,0,0,0,1,1,0
1,2,1,1,4,2,5,2,1
0,0,1,0,1,1,14,2,0
0,0,1,0,0,0,0,2,0
0,2,0,0,0,0,1,1,0
0,1,1,0,0,0,1,2,0
0,2,1,0,4,1,7,2,0
1,2,1,1,1,0,1,2,1
1,0,0,1,0,1,27,2,1
1,0,0,1,0,0,24,2,1
0,0,1,0,0,0,5,2,0
1,2,1,1,0,0,0,2,1
1,1,0,1,0,1,3,2,1
0,0,1,0,0,1,5,0,0
1,2,0,1,0,0,1,1,1
1,0,0,1,1,0,14,2,1
0,2,0,0,0,0,1,2,0
0,1,1,0,0,0,0,2,0
0,2,1,0,4,1,5,1,0
1,2,0,1,1,1,3,2,1
0,2,1,0,0,0,1,1,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
1,2,1,1,0,0,1,2,1
0,0,1,0,0,0,4,2,0
0,2,1,0,0,0,1,0,0
1,2,1,1,0,0,1,2,1
0,2,1,0,0,0,1,2,0
1,1,1,1,0,0,2,2,1
1,2,0,1,0,0,1,1,1
1,0,0,1,0,0,14,2,1
1,0,0,1,1,0,16,0,1
0,1,1,0,0,0,2,0,0
0,2,0,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,0,1,0,0,0,5,0,0
0,2,1,0,0,0,1,0,0
0,0,0,0,1,2,27,2,0
1,0,1,1,0,0,5,2,1
1,0,0,1,0,1,44,0,1
1,2,0,1,0,0,1,1,1
1,2,1,1,2,0,4,1,1
0,2,1,0,0,0,0,2,0
1,1,0,1,0,0,2,1,1
0,2,1,0,0,0,1,2,0
1,0,1,1,1,2,27,2,1
1,0,0,1,0,0,20,0,1
1,0,0,1,1,0,19,0,1
0,1,1,0,1,0,4,0,0
1,0,0,1,0,0,10,0,1
1,0,0,1,0,0,15,0,1
1,0,0,1,2,2,47,0,1
0,1,0,0,1,1,4,2,0
0,2,1,0,0,0,1,2,0
0,1,1,0,1,1,4,2,0
1,2,0,1,0,0,1,2,1
1,1,0,1,1,0,4,2,1
0,1,1,0,0,0,2,2,0
1,0,0,1,0,2,29,2,1
1,0,0,1,1,1,24,0,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
1,1,0,1,0,0,2,1,1
1,1,0,1,1,1,5,2,1
0,2,1,0,8,2,12,2,0
1,0,0,1,0,0,24,0,1
0,2,1,0,0,0,1,2,0
1,1,0,1,0,0,2,2,1
1,2,0,1,1,1,3,2,1
1,0,0,1,0,1,10,0,1
1,2,0,1,2,0,4,1,1
0,0,1,0,0,0,5,2,0
0,0,1,0,0,1,27,2,0
0,2,1,0,2,0,3,2,0
1,0,0,1,1,0,24,2,1
0,2,1,0,0,0,1,2,0
0,0,1,0,1,0,12,2,0
1,0,0,1,0,0,24,0,1
1,2,1,1,0,0,1,2,1
0,0,1,0,0,0,6,2,0
1,1,1,1,1,1,4,2,1
1,0,0,1,3,2,47,2,1
0,1,1,0,0,0,2,2,0
0,1,1,0,0,0,2,2,0
0,1,1,0,0,0,2,2,0
1,1,0,1,0,0,2,2,1
1,1,0,1,0,0,2,2,1
1,2,0,1,1,0,2,2,1
1,2,1,1,1,1,2,2,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,0,1,0,0,0,6,2,0
0,2,1,0,1,1,1,0,0
0,2,1,0,1,0,3,2,0
0,2,1,0,0,0,1,0,0
0,2,1,0,0,0,1,2,0
1,0,0,1,0,1,9,2,1
0,1,0,0,0,0,2,2,0
1,2,0,1,0,0,1,1,1
1,2,0,1,0,0,1,1,1
0,2,1,0,1,4,5,2,0
0,1,1,0,1,0,5,0,0
0,2,0,0,0,1,2,0,0
0,2,1,0,0,0,1,2,0
0,2,1,0,1,0,2,1,0
0,2,1,0,0,0,1,2,0
1,0,0,1,1,0,13,0,1
1,2,0,1,0,0,1,0,1
1,2,0,1,0,0,1,1,1
1,0,0,1,0,0,12,0,1
1,0,1,1,1,0,10,0,1
0,2,1,0,1,0,1,2,0
0,2,1,0,0,0,1,2,0
0,0,1,0,0,0,24,0,0
0,2,0,0,3,1,3,2,0
1,0,0,1,1,0,14,0,1
1,2,0,1,0,0,1,2,1
0,0,1,0,0,2,38,0,0
0,2,1,0,0,0,0,0,0
0,2,1,0,0,0,1,2,0
1,0,0,1,0,0,41,0,1
1,2,0,1,0,2,2,0,1
0,2,1,0,0,0,1,2,0
1,0,0,1,1,0,9,2,1
0,2,1,0,0,0,1,2,0
0,1,1,0,0,0,13,2,0
0,2,1,0,5,2,8,2,0
1,1,0,1,0,0,2,2,1
0,2,1,0,0,0,1,1,0
1,1,0,1,0,0,2,0,1
1,0,1,1,1,2,21,2,1
1,2,1,1,0,0,1,2,1
0,2,1,0,2,0,1,2,0
1,0,0,1,1,0,20,0,1
1,2,0,1,0,2,3,2,1
0,2,1,0,0,0,1,2,0
0,2,0,0,0,0,1,2,0
0,1,1,0,0,0,4,2,0
0,1,1,0,0,0,1,2,0
1,1,0,1,0,0,2,2,1
1,2,1,1,0,0,1,2,1
0,2,1,0,0,0,1,2,0
0,2,0,0,1,0,1,2,0
0,2,1,0,1,0,2,2,0
0,2,0,0,0,0,1,2,0
0,1,1,0,1,0,3,2,0
0,2,1,0,0,0,1,2,0
1,1,1,1,1,1,3,2,1
0,2,1,0,0,0,1,2,0
0,2,0,0,3,1,4,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,1,0
1,0,0,1,1,0,16,1,1
0,1,1,0,0,0,0,2,0
1,2,1,1,0,0,1,2,1
0,2,0,0,0,0,1,2,0
1,1,0,1,1,1,5,2,1
1,1,0,1,0,2,2,2,1
0,1,1,0,0,0,2,2,0
0,2,0,0,0,2,4,2,0
0,2,1,0,0,0,1,0,0
0,2,1,0,0,0,1,1,0
0,2,1,0,0,0,1,2,0
0,2,0,0,1,1,2,2,0
0,2,1,0,1,1,3,2,0
0,2,1,0,0,0,1,2,0
1,1,0,1,1,0,4,2,1
1,1,0,1,0,0,4,2,1
0,2,1,0,0,0,1,1,0
1,2,1,1,0,0,1,2,1
1,0,1,1,0,0,4,2,1
1,2,0,1,1,0,2,2,1
1,1,0,1,1,0,4,2,1
0,2,1,0,0,0,1,2,0
0,0,1,0,1,0,10,2,0
1,0,0,1,1,2,21,2,1
0,2,0,0,2,2,6,2,0
1,1,0,1,2,3,3,2,1
0,0,1,0,1,4,47,2,0
0,1,1,0,0,0,1,2,0
1,1,0,1,1,1,4,2,1
0,2,1,0,0,0,1,2,0
0,2,1,0,1,0,1,2,0
1,1,0,1,0,0,2,2,1
1,2,1,1,0,0,1,2,1
1,0,1,1,0,2,14,2,1
1,1,0,1,0,1,3,2,1
1,0,1,1,0,0,4,2,1
1,2,0,1,2,1,3,0,1
1,0,1,1,0,0,5,2,1
0,1,1,0,1,2,5,2,0
0,2,1,0,1,0,3,2,0
0,0,1,0,0,0,5,0,0
1,0,1,1,1,0,16,0,1
0,2,1,0,0,0,1,2,0
1,2,1,1,0,0,1,0,1
0,0,1,0,0,0,4,2,0
1,0,0,1,1,0,9,2,1
1,1,0,1,0,0,1,2,1
0,2,1,0,0,0,1,1,0
1,0,1,1,0,0,4,2,1
0,2,1,0,0,0,1,2,0
0,0,1,0,0,0,6,2,0
0,1,1,0,0,0,2,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,1,1,0,0,0,0,2,0
0,0,1,0,0,0,4,2,0
0,2,1,0,0,0,1,1,0
1,2,0,1,2,1,3,0,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
1,1,0,1,1,2,5,2,1
1,1,0,1,0,0,2,0,1
0,2,0,0,0,0,1,2,0
0,0,1,0,0,0,9,2,0
0,1,1,0,1,0,3,2,0
0,2,1,0,1,0,1,2,0
0,2,1,0,0,0,1,2,0
1,2,0,1,0,1,2,2,1
0,2,1,0,5,2,8,2,0
0,1,1,0,0,0,0,2,0
0,2,1,0,0,0,1,2,0
1,2,0,1,0,0,1,2,1
1,0,1,1,1,0,16,0,1
0,2,0,0,3,1,4,2,0
1,0,0,1,1,0,16,2,1
0,0,1,0,0,0,5,0,0
0,2,1,0,0,0,1,2,0
1,2,1,1,1,1,2,2,1
0,2,1,0,1,0,3,2,0
0,2,1,0,0,0,1,2,0
0,0,1,0,0,0,5,2,0
0,0,1,0,0,0,8,0,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,2,0,0
1,0,0,1,1,0,14,0,1
0,2,1,0,0,0,2,2,0
0,0,0,0,1,2,27,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,2,0,0,0,0,1,1,0
0,2,0,0,0,0,1,1,0
0,2,0,0,0,0,1,2,0
1,0,0,1,0,0,15,2,1
0,0,1,0,1,0,19,0,0
1,1,0,1,0,2,4,2,1
1,0,1,1,0,0,4,2,1
0,2,1,0,0,0,4,2,0
1,2,1,1,0,0,10,2,1
1,2,1,1,0,0,1,1,1
0,2,1,0,0,0,1,2,0
1,0,1,1,0,0,4,2,1
1,0,0,1,1,0,10,0,1
0,2,1,0,0,0,1,2,0
0,0,1,0,0,0,6,2,0
1,1,0,1,0,0,1,2,1
0,2,1,0,0,0,4,1,0
1,1,0,1,1,0,4,2,1
0,2,1,0,0,0,1,2,0
1,0,0,1,0,0,16,2,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,0,0
1,0,0,1,0,1,10,0,1
0,2,1,0,0,0,1,0,0
0,2,1,0,0,0,1,1,0
1,1,0,1,0,0,1,2,1
0,0,1,0,0,0,40,2,0
0,2,1,0,0,0,1,2,0
0,1,1,0,2,1,2,2,0
1,1,0,1,1,1,4,2,1
0,2,1,0,0,0,1,0,0
0,2,1,0,1,1,1,0,0
1,2,0,1,0,2,4,0,1
0,2,0,0,0,0,1,2,0
1,1,0,1,0,2,4,2,1
0,0,1,0,0,0,4,2,0
1,0,0,1,0,0,19,0,1
0,2,1,0,0,0,2,2,0
1,0,0,1,0,2,8,0,1
1,0,0,1,0,2,12,2,1
0,2,0,0,4,2,5,2,0
0,2,0,0,4,2,5,2,0
1,1,1,1,1,0,4,2,1
0,0,1,0,1,0,19,0,0
0,0,1,0,0,0,4,2,0
1,1,0,1,1,0,4,2,1
1,1,1,1,0,0,2,0,1
0,2,1,0,1,1,3,2,0
1,1,1,1,1,1,6,2,1
1,0,1,1,0,2,20,0,1
0,1,1,0,0,0,4,2,0
0,2,1,0,0,0,1,1,0
1,2,1,1,0,0,1,0,1
1,2,0,1,0,0,1,2,1
0,0,1,0,0,0,4,2,0
1,0,0,1,1,0,7,0,1
0,0,1,0,0,0,41,0,0
1,0,0,1,1,1,14,2,1
1,2,0,1,1,0,3,2,1
0,2,1,0,0,0,1,1,0
0,2,1,0,0,0,1,2,0
0,1,1,0,0,0,2,2,0
0,2,1,0,0,0,1,2,0
0,2,0,0,0,0,1,2,0
0,2,1,0,2,0,4,2,0
0,2,1,0,0,0,1,2,0
0,2,0,0,0,4,3,2,0
0,2,1,0,0,0,1,0,0
1,2,1,1,0,0,1,2,1
1,1,1,1,0,0,1,2,1
1,0,0,1,2,0,9,2,1
1,0,1,1,0,0,4,2,1
1,2,0,1,0,0,1,1,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,2,2,0
1,1,0,1,0,0,2,2,1
1,0,0,1,1,0,10,2,1
0,2,0,0,1,0,2,0,0
1,2,1,1,0,0,1,2,1
1,1,0,1,1,1,5,2,1
1,0,0,1,1,1,20,0,1
0,1,1,0,0,0,4,2,0
0,0,1,0,0,0,7,0,0
0,2,1,0,0,0,1,0,0
1,0,0,1,0,2,14,2,1
0,1,1,0,0,0,2,2,0
1,0,1,1,1,1,14,0,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,2,0
1,0,0,1,1,0,14,0,1
0,2,1,0,0,0,1,2,0
0,2,0,0,0,2,1,1,0
0,1,1,0,1,0,4,2,0
0,2,1,0,1,1,4,2,0
1,1,0,1,0,0,5,2,1
0,2,1,0,0,0,0,2,0
0,2,1,0,0,0,1,0,0
1,0,1,1,1,0,10,0,1
1,1,0,1,2,1,4,2,1
0,2,1,0,0,0,1,2,0
0,0,1,0,0,0,7,2,0
0,2,1,0,0,0,1,2,0
1,0,1,1,0,0,4,0,1
0,2,1,0,1,0,2,2,0
0,2,1,0,0,0,1,2,0
1,0,1,1,0,0,5,2,1
1,1,0,1,1,2,7,0,1
1,0,0,1,0,0,27,2,1
0,2,0,0,1,5,5,2,0
0,2,1,0,0,0,1,2,0
1,2,0,1,1,0,2,1,1
0,2,1,0,0,0,1,1,0
0,2,1,0,0,0,1,2,0
1,1,0,1,1,2,11,2,1
0,2,1,0,1,1,2,2,0
0,2,0,0,1,0,2,2,0
1,1,0,1,2,1,7,2,1
0,1,1,0,0,0,1,2,0
0,2,1,0,1,0,2,0,0
1,0,1,1,1,0,9,2,1
1,2,1,1,1,1,2,0,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,2,2,0
0,0,1,0,0,0,5,2,0
0,1,1,0,0,0,2,1,0
1,0,0,1,0,0,14,2,1
0,2,1,0,0,0,1,2,0
0,2,1,0,0,0,1,1,0
1,0,1,1,0,0,5,2,1
0,2,1,0,0,0,1,2,0
1,0,1,1,0,0,5,0,1
0,0,1,0,0,0,0,2,0
0,2,0,0,3,2,5,2,0
1,1,0,1,0,0,2,2,1
0,2,1,0,0,0,1,2,0
0,1,1,0,1,1,4,2,0
0,2,0,0,0,5,7,2,0
0,2,1,0,1,0,2,2,0
0,2,1,0,0,0,1,2,0
1,0,0,1,0,0,12,0,1
0,2,0,0,3,2,5,2,0
1,2,1,1,0,0,10,2,1
1,2,0,1,2,1,3,0,1
1,0,1,1,1,0,13,0,1
0,2,1,0,0,0,1,2,0
1,0,1,1,0,0,6,0,1
0,2,1,0,0,0,1,2,0
1,2,0,1,0,0,1,2,1
0,2,1,0,0,0,1,2,0
